CSP2 FAILURE TYPE,MINE,ORE TYPE,DAM TYPE,DAM FILL MATERIAL,DAM HEIGHT in meters,"STORAGE VOLUME
cu. Meters",ICOLD TYPE,ICOLD INCIDENT TYPE,ICOLD INCIDENT NUMBER,INCIDENT YEAR,INCIDENT DATE,"RELEASE
(cu. meters)",RUNOUT km,DEATHS,SOURCES,NOTES,DEPOSIT TYPE,ORE TYPE,Resources  Mtonnes,Cu grade,Au grade in ppm,CuEq,1st Prod,Est Mill through-put to event Mtonnes,Adverse Minerals
,as of: 22Aug16,,,,,,,,,,,,,,,,,,,,ORE DEPOSIT DATA,,,,
3,"Tranque Adosado Planta Alhué, Alhué, Region Metropolitana, Chile",,DS,,15,,1A-EQ,1,-,2010,27-feb-10,,,,Villavicencio,"Intraplate earthquake Mw = 8.8, R = 252 km, slope 4.5:1, slope instability with seismically induced deformations",,0,,,,,,,
3,"Las Palmas, Pencahue, VII Region, Maule, Chile (COMINOR)",,,,15,,1B-EQ,1,-,2010,27-feb-10,,0.5,4,Villavicencio,"Intraplate earthquake Mw = 8.8, 80% of total volume estimated lost, overtopping with ?ow failure",,0,,,,,,,
3,"Tranque Planta Chacón, Cachapoal, VI Region, Rancagua, Chile",,,,,,1B-EQ,1,-,2010,27-feb-10,,,,Villavicencio,"Intraplate earthquake Mw = 8.8, slope 1.8:1, slope instability with seismically induced deformations",,0,,,,,,,
3,"Veta del Agua Tranque No. 5, Nogales, V Region, Valparaíso, Chile",Cu,US,,,,1B-EQ,1,-,2010,27-feb-10,"80,000",0.1,,Villavicencio,"Intraplate earthquake Mw = 8.8, slope 1.4:1, slope instability with seismically induced deformations",,Cu,,,,,,,
3,"Tranque Adosado Planta Alhué, Alhué, Region Metropolitana, Chile (Florida Mining)",,US,,,,1B-EQ,1,-,2010,27-feb-10,,,,Villavicencio,"Intraplate earthquake Mw = 8.8, 80% of total volume estimated lost, slope 1.2:1, slope instability with seismically induced deformations",,0,,,,,,,
1,"Karamken, Magadan Region, Russia (cyanide-leach processing facility of gold mines in the region)",Au,,,20,,1A-U,1, - ,2009,29/Aug/09,"1,200,000",,1,"WISE, MACE","11 houses lost, 1 death (Karamken Update - MACE 2012-02-10); shutdown in 1990s; bad design, bad construction, no maintenance led to groundwater contamination prior to failure; ",Vein,Au,,,,,1978,,
2,"Huayuan County, Xiangxi Autonomous Prefecture, Hunan Province, China",Mn,,,,,1A-U,1, - ,2009,14-may-09,"50,000",,3,WISE,"3 killed, 4 injured",,Mn,,,,,,,
1,"Kingston fossil plant, Harriman, Tennessee, USA (TVA)",Coal,,,,,1A-U,1, - ,2008,22/Dec/08,"4,100,000",4.1,,WISE,5.4 million cubic yards (1.09 billion gallons) of fly ash was released (http://www.sourcewatch.org/index.php?title=TVA_Kingston_Fossil_Plant_coal_ash_spill#TVA_Reaction),Strat,Coal,,,,,1955,,
1,"Taoshi, Linfen City, Xiangfen county, Shanxi province, China (Tahsan Mining Co.)",Fe,US,,50.7,"290,000",1B-U,1, - ,2008,8-sep-08,"190,000",2.5,277,WISE,"At least 254 dead and 35 injured; mine not operating - claimed that state-owned company ""sealed"" TSF",,Fe,,,,,,,
3,"Glebe Mines, UK",F,,E,,,1B-OT,1, - ,2007,22/Jan/07,"20,000",,,HSE Report,"Flourspar mine.  Initial Report of the HSE investigation into the Glebe Mines Stony Middleton dam failure 2007, HSE Central Division - Nottingham, UK, 23Feb07",,F,,,,,,,
1,"Mineracao Rio Pomba Cataguases, Mirai, Minas Gerais, Brazil, Mineração (Industrias Quimicas Cataguases)",Al,,,,,1A-OT,1, - ,2007,10/Jan/07,"2,000,000",,,WISE,The mud flow left about 4000 residents of the cities of Miraí and Muriaé in the Zona da Mata homeless. Crops and pastures were destroyed and the water supply was compromised in cities in the states of Minas Gerais and Rio de Janeiro. ,Laterite (Bauxite),Al,,,,,,,
3,"Fonte Santa ,Freixia De Espado a Cinta, Potugal",?,DS,E,12,,2B-OT,2, - ,2006,27-nov-06,"93,940",17.5,,"Duque, 2011","Reconstitution of the failure of the Fonte Santa mine tailings dam. Modelling of the dam breaching process. Marta AC Duque, New University of Lisbon, Master of Civil Engineering Structures and Geotechnics thesis, July 2011",,?,,,,,,,
4,"Nchanga, Chingola, Zambia (Konkola Copper Mines - Vedanta)",Cu,,,,,3,3, - ,2006,6-nov-06,,,,WISE,"Konkola Copper Mines Plc (51% Vedanta Resources plc)  Failure of tailings slurry pipeline from Nchanga tailings leaching plant to Muntimpa tailings dumps. Release of highly acidic tailings into Kafue river; high concentrations of copper, manganese, cobalt in river water; drinking water supply of downstream communities shut down.",SSC,Cu,1100,2.16,,3.6,1939,135,Co
2,"Miliang, Zhen'an County, Shangluo, Shaanxi Province, China",Au,,,,,1A-U,1, - ,2006,30/Apr/06,,5,17,WISE,"The landslide buried about 40 rooms of nine households, leaving 17 residents missing. Five injured people were taken to hospital. More than 130 local residents have been evacuated. Toxic potassium cyanide was released into the Huashui river, contaminating it approx. 5 km downstream. ",,Au,,,,,,,
2,"Mineracao Rio Pomba Cataguases, Mirai, Minas Gerais, Brazil, Mineração (Industrias Quimicas Cataguases)",Al,,,,,1A-U,1, - ,2006,mar-06,"400,000",,,Brazil Magazine,"In March 2006, a leaking (sic) let 400 million liters (400,000 m3) of muddy water escape making its way to Rio de Janeiro. ""Brazilian Rains Kill Dozens and Broken Dam Leaves, Thousands Without Shelter ,"" José Wilson Miranda , Brazzil Magazine, 11 January 2007  The mud flow left about 4000 residents of the cities of Miraí and Muriaé in the Zona da Mata homeless. Crops and pastures were destroyed and the water supply was compromised in cities in the states of Minas Gerais and Rio de Janeiro; company was cited for a TSF infraction in 2006",Laterite (Bauxite),Al,,,,,,,
3,"Bangs Lake, Jackson County, Mississippi, USA (Mississippi Phosphates Corp)",P,,,,,,3, - ,2005,14/Apr/05,"64,350",,,WISE,"Mississippi Phosphates Corp. Phosphogypsum stack failure, because the company was trying to increase the capacity of the pond at a faster rate than normal, according to Officials with the Mississippi Department of Environmental Quality (the company has blamed the spill on unusually heavy rainfall, though). Liquid poured into adjacent marsh lands, causing vegetation to die.",Strat,P,,,,,,,
3,"Pinchi Lake, BC, Canada (Teck Cominco Ltd.)",Hg,WR,E,12,,2A-ER,2, - ,2004,30-nov-04," 6,000-8,000 ",,,WISE,Mercury contaminated tailings into Pinchi Lake; operated 1940-43 and 1968-1975 by Cominco,Vein-Strat,Hg,1.1,,,,1940,,
2,"Riverview, Florida, USA",P,,,,,3,3, - ,2004,5-sep-04,"227,000",,,WISE,A dike at the top of a 100-foot-high gypsum stack holding 150-million gallons of polluted water broke after waves driven by Hurricane Frances bashed the dike's southwest corner. Liquid spilled into Archie Creek that leads to Hillsborough Bay.,Strat,P,,,,,,,
2,"Partizansk, Primorski Krai, Russia (Dalenergo)",Coal,Ring,,,"20,000,000",1A-U,1, - ,2004,22-may-04,"160,000",,,WISE,"A ring dike, enclosing an area of roughly 1 km2 and holding roughly 20 million cubic meters of coal ash, broke. The break left a hole roughly 50 meter wide in the dam. The ash flowed through a drainage canal into a tributary to the Partizanskaya River which empties in to Nahodka Bay in Primorski Krai (east of Vladivostok).  For details download Sept. 2004 report by Paul Robinson, SRIC.",Strat,Coal,,,,,,,
3,"Malvési, Aude, France (Comurhex, Cogéma/Areva)",U,,,,,1A-U,1, - ,2004,20-mar-04,"30,000",,,WISE,Uranium slurries elevated nitrate in river. Decantation and evaporation pond of uranium conversion plant dam failure after heavy rain in preceding year. the release led to elevated nitrate concentrations of up to 170 mg/L in the canal of Tauran for several weeks.,,U,,,,,,,
2,"Cerro Negro, near Santiago, Chile, (5 of 5)",Cu,US,T,,,1A-ER,1, - ,2003,3-oct-03,"80,000",20,,"WISE, Villavicencio",Tailings flowed 20 kilometers downstream the río La Ligua.,,Cu,,,,,,,
2,"Sasa Mine, Macedonia",Pb-Zn,,,,"2,000,000",1A-ST,1, - ,2003,30/Aug/03," 70,000-100,000 ",12,,"Vrhovnik et al, 2011; Vrhovnik et al, 2013; Peck, 2007","Culvert failure under Sasa Mine Tailings Dam. (Avoiding tailings dam failures, Good practice in prevention, Philip Peck, UNEP GRID Arendal and IIIEE at Lund University, Workshop on the safety of Tailings Management Facilities, November 12, 2007, Yerevan, Armenia); Tailings dam break with waste flowing into Lake Kalimanci 12 km from mine. (http://www.geologija-revija.si/dokument.aspx?id=1229); The Occurrence of Heavy Metals and Metalloids in Surficial Lake Sediments before and after a Tailings Dam Failure, Petra Vrhovnik, Tadej Dolenec, Todor Serafimovski, Matej Dolenec, Nastja Rogan Šmuc, Pol. J. Environ. Stud. Vol. 22, No. 5 (2013), 1525-1538 (http://www.pjoes.com/pdf/22.5/Pol.J.Environ.Stud.Vol.22.No.5.1525-1538.pdf)",,Pb-Zn,,,,,,,
1,"Mineracao Rio Pomba Cataguases, Mirai, Minas Gerais, Brazil, Mineração (Industrias Quimicas Cataguases)",Al,,,,,1A-U,1, - ,2003,2003,"1,200,000",,,Brazil Magazine,"1.2 billion liters (1.2 million m3) of toxic water was poured out into the Pomba and Paraíba do Sul rivers. ""Brazilian Rains Kill Dozens and Broken Dam Leaves, Thousands Without Shelter ,"" José Wilson Miranda , Brazzil Magazine, 11 January 2007",Laterite (Bauxite),Al,,,,,,,
3,"El Cobre, Chile - El Soldado (Exxon)",Cu,US,T,,,1B-OT,1, - ,2002,8-nov-02,"4,500",,,Villavicencio,Strong rains and over?ow,HT Manto,Cu,580,1.1,,1.1,19th c,200,Py
3,"El Cobre, Chile, 2, 3, 4, 5 (Exxon)",Cu,US,T,,,1B-OT,1, - ,2002,22-sep-02,"8,000",,,Villavicencio,Strong rains and over?ow,HT Manto,Cu,580,1.1,,1.1,19th c,200,Py
1,"San Marcelino Zambales, Philippines, Bayarong dam (Benguet Corp-Dizon Copper-Silver Mines Inc)",Cu Au,,,,"47,000,000",1B-OT,1, - ,2002,11-sep-02," >1,000,000? ",,,"WISE, Piplinks",Dizon Copper Silver Mines Inc. Spillway of Bayarong tailings dam collapsed and Camalca tailings dam damaged during heavy rain. Low lying villages flooded with mine waste; 250 families evacuated; mined ceased operations in 1997,PCD,Cu Au,187,0.36,0.93,1.105946996,1980,97,Py
3,"San Marcelino Zambales, Philippines, Camalca dam (Benguet Corp-Dizon Copper-Silver Mines)",Cu Au,,,,,1B-OT,1, - ,2002,27/Aug/02,,,,"WISE, Piplinks","Heavy rains impounded water on the Bayarong tailings dam and Camalca silt dam, and spillways, eroding these and eventually causing leak. Some tailings spilled into Mapanuepe Lake and eventually into the Sto. Tomas River.  ",PCD,Cu Au,187,0.36,0.93,1.105946996,1980,97,Py
3,"Tarkwa, Ghana (Goldfields)",Au,,,,,,,,2001,16-oct-01,,,,Environmental New Service,"http://www.corpwatch.org/article.php?id=744  (accessed 1Jul16)  This is possibly a larger failure, but no additional details are available.",,Au,,,,,,,
