CSP2 FAILURE TYPE,MINE,ORE TYPE,DAM TYPE,DAM FILL MATERIAL,DAM HEIGHT in meters,"STORAGE VOLUME
cu. Meters",ICOLD TYPE,ICOLD INCIDENT TYPE,ICOLD INCIDENT NUMBER,INCIDENT YEAR,INCIDENT DATE,"RELEASE
(cu. meters)",RUNOUT km,DEATHS,SOURCES,NOTES,DEPOSIT TYPE,ORE TYPE,Resources  Mtonnes,Cu grade,Au grade in ppm,CuEq,1st Prod,Est Mill through-put to event Mtonnes,Adverse Minerals
,as of: 22Aug16,,,,,,,,,,,,,,,,,,,,ORE DEPOSIT DATA,,,,
1,"Bafokeng, South Africa",Pt,US,T,20,"17,000,000",1A-SE,1,7,1974,11-nov-74,"3,000,000",45,12,"ICOLD, WISE, Rico",https://books.google.com/books?id=mDgarPrQ1_YC&pg=PA383&lpg=PA383&dq=Bafokeng+tailings&source=bl&ots=rgKF0PG8jS&sig=ZHuhBXlzouXT6uMa4exSS0DC96U&hl=en&sa=X&ved=0ahUKEwjKj4OnguLMAhUMcj4KHaBwAc0Q6AEIMDAD#v=onepage&q=Bafokeng%20tailings&f=false (copied 9Jun16),Magmatic,Pt,,,,,,,
3,"Golden Gilpin Mine, Colorado, USA",Au,,,12,,1B-U,1,50,1974,nov-74,,,,ICOLD,,,Au,,,,,,,
3,"Deneen Mica Yancey County, North Carolina, USA",Mica,US,CST,18,"300,000",1A-SI,1,37,1974,jun-74,"38,000",0.03,,ICOLD,,,Mica,,,,,,,
3,"Silver King, Idaho, USA",Ag,DS,E,9,"37,000",1A-OT,1,109,1974,16/Jan/74,"6,000",,,ICOLD,,,Ag,,,,,,,
3,"Galena Mine, Idaho, USA #2 of 2 (ASARCO)",Ag Pb,US,MW,9,,1A-OT,1,49,1974,15/Jan/74,"3,800",0.61,,"ICOLD, Rico",,,Ag Pb,,,,,,,
3,"Berrien, France",Ag Pb,US,R,9,,1A-SE,1,10,1974,1974,,,,ICOLD,,Strat,Ag Pb,,,,,,,
3,"GCOS, Alberta, Canada",Oil Sands,US,T,61,,2A-SI,2,47,1974,1974,,,,ICOLD,,,Oil Sands,,,,,,,
3,"Unidentified, Mississippi, USA #2",Gypsum,US,T,20,,2A-FN,2,153,1974,1974,,,,ICOLD,,,Gypsum,,,,,,,
3,"Unidentified, Canaca, Mexico",Cu,US,T,46,,1A-OT,1,159,1974,1974,,,,ICOLD,,,Cu,,,,,,,
3,"Ray Mine, Arizona, USA inc #2 (Kennecott)",Cu,US,T,52,,2A-SI,2,101,1973,5-feb-73,,,,ICOLD,,PCD,Cu,3200,0.49,,0.67,1911,32,Py
2,"(unidentified), Southwestern USA",Cu,US,E,43,"500,000",1A-SI,1,169,1973,1973,"170,000",25,,"ICOLD, WISE, Rico","noted as ""Southwestern US"" in WISE",,Cu,,,,,,,
3,"Earth Resources, N M,",Cu,US,T,21,,1A-OT,1,41,1973,1973,,,,ICOLD,,,Cu,,,,,,,
3,"Ray Mine, Arizona, USA",Cu,US,T,52,,1A-SI,1,100,1972,2/Dec/72,,,,ICOLD,,PCD,Cu,3200,0.49,,0.67,1911,30,Py
1,"Buffalo Creek, West Virginia, USA (Pittson Coal Co.)",Coal,,,,,1A-U,1,Table 1,1972,26-feb-72,"500,000",64.4,125,"ICOLD, WISE, Rico","Tailings traveled 27 km downstream, 125 people lost their lives, 500 homes were destroyed. Property and highway damage exceeded $65 million",Strat,Coal,,,,,,,
3,"Galena Mine, Idaho, USA #1 of 2 (ASARCO)",Ag Pb,US,E,14,,2A-ER,2,48,1972,1972,,,,ICOLD,,Vein,Ag Pb,,,,,,,
1,"Cities Service, Fort Meade, Florida,  phosphate",P,,,,,1A-U,1,31,1971,3/Dec/71,"9,000,000",120,,"WISE, Rico",,Strat,P,,,,,,,
1,"Certej gold mine, Romania",Au,,,25,,1A-SI,1,-,1971,30-oct-71,"300,000",,89,"Mining Watch Romania, 30Oct14;  Adev?rul, 14Oct10","43 years since the Certej gold mine dam failure, Mining Watch Romania, October 30, 2014; Certej 1971 forgotten tragedy of 89 lives buried under 300 thousand cubic meters of mud, Adev?rul, October 14, 2010",,Au,,,,,,,
3,"Pinchi Lake, BC, Canada",Hg,WR,E,13,,2A-ER,2,95,1971,1971,,,,ICOLD,,Vein-Strat,Hg,1.1,,,,1940,,
3,"Western Nuclear, Jeffrey City, Wyoming, USA",U,,,,,1A-ST,1,181,1971,1971,,,,ICOLD,,Strat,U,,,,,,,
1,"Mufulira, Zambia (Roan Consolidated Mines)",Cu,,,50,"1,000,000",1A-MS,1,88,1970,sep-70,"68,000",,89,"ICOLD, WISE",Saturated slime tailings deposited in a TSF #3 over subsidence feature flowed into an underground mine killing 89 miners.,SSC,Cu,612,3,,3,1967,50,
3,"Maggie Pye, United Kingdom, clay",Clay,US,T,18,,1A-SI,1,75,1970,Jan/70,"15,000",,,"ICOLD, WISE",,Strat,Clay,,,,,,,
3,"Park, United Kingdom",Clay,WR,T,3,,1A-OT,1,93,1970,1970,,,,ICOLD,,Strat,Clay,,,,,,,
3,"Portworthy, United Kingdom",Clay,DS,R,15,,1A-ST,1,97,1970,1970,,,,ICOLD,,Strat,Clay,,,,,,,
3,"Unidentified, Mississippi, USA",Gypsum,US,T,15,,1A-OT,1,152,1970,1970,,,,ICOLD,,Strat,Gypsum,,,,,,,
3,"Williamsport Washer, Maury County, Tennessee, USA",P,,,21,,1A-U,1,182,1970,1970,,,,ICOLD,,Strat,P,,,,,,,
2,"Bilbao, Spain",Fe,,,,,1A-SI,1,15,1969,1969,"115,000",0.035,?,"ICOLD, WISE",,,Fe,,,,,,,
3,"Monsanto Dike 15, TN,",P,DS,E,43,"1,230,000",2A-SE,2,86,1969,1969,,,,ICOLD,,Strat,P,,,,,,,
3,"Phoenix Copper, BC",Cu,US,,,,2A-SE,2,,1969,12-sep-69,"11,356",,,"Mt Polley Expert Panel 2015, App. I",Piping failure occurred 25 years after closure with a release of 9 million gallons of tailings and supernatant.,,Cu,,,,,,,
3,"Stoney Middleton, UK",?,,,,,1A-SI,1,217,1968,8-feb-68,,,,ICOLD,,,?,,,,,,,
3,"Hokkaido, Japan",Pb Zn,US,T,12,"300,000",1A-EQ,1,57,1968,1968,"90,000",0.15,,"ICOLD, WISE, Rico",,,Pb Zn,,,,,,,
3,"Agrico Chemical, Florida, USA",P,,,,,1A-U,1,1,1968,1968,,,,ICOLD,,Strat,P,,,,,,,
5,"IMC K-2, Saskatchewan, Canada",K,US,T,30,,3,3,60,1968,1968,,,,ICOLD,,Strat,K,,,,,,,
3,"Climax, Colorado, USA - Mill (Climax Molybdenum Co)",Mo,,,,,1A-U,1,33,1967,2-jul-67,"12,000",,,ICOLD,Mill decommissioned in 1970,,Mo,,,,,,,
1,"Mobil Chemical, Fort Meade, Florida,  phosphate",P,,,,,1A,1,83,1967,mar-67,"2,000,000",,,"ICOLD, WISE","250,000 m3 of phosphatic clay slimes, 1.8 million m3 of water.  Spill reaches Peace River, fish kill reported",Strat,P,,,,,,,
3,"Unidentified, United Kingdom",Coal,DS,,20,,1A-SI,1,144,1967,1967,,,,ICOLD,,Strat,Coal,,,,,,,
3,"Unidentified, United Kingdom #3",Coal,DS,MW,14,,2A-SI,2,145,1967,1967,,,,ICOLD,,Strat,Coal,,,,,,,
3,"Unidentified, United Kingdom #2",Sand,DS,E,30,,2A-SE,2,146,1967,1967,,,,ICOLD,,Strat,Sand,,,,,,,
5,"Aberfan, South Wales Colliery",Coal,,,,"230,000",3,3,,1966,21-oct-66,"162,000",,144,"Blight & Fourie, 2004; WISE; Wikipedia","Coal tip (waste rock pile) failure. Waste dumped over spring on hillside above village in Tips;  a Tip failed in 1939 burying a road, Tip 4 failed in 1944, Tip 7 failed in 1966 and slid into village ",Strat,Coal,,,,,1869,,
1,"Mir mine, Sgorigrad, Bulgaria",Pb Zn,US,T,,,1A-U,1,81,1966,may-66,"450,000",8,488,"ICOLD, WISE","Tailings wave traveled 8 km to the city of Vratza and destroyed half of Sgorigrad village 1 km downstream, killing 488 people.",,Pb Zn,,,,,,,
3,"Williamthorpe, UK",Coal,,MW,,,1A-OT,1,183,1966,24-mar-66,,,,ICOLD,,Strat,Coal,,,,,,,
2,"Unidentified, Texas, USA",Gypsum,US,T,16,,1A-SE,1,154,1966,1966,"130,000",,,"ICOLD, WISE",,Strat,Gypsum,,,,,,,
3,"Gypsum Tailings Dam (Texas, USA)",Gypsum,UP,,11,"7,000,000",1A-SE,1,,1966,1966,"85,000",0.3,,"Rico, WISE","Summary of Research on Analyses of Flow Failures of Mine Tailings Impoundments, J. K. Jeyapalan, J. M. Duncan, and H. B. Seed",Strat,Gypsum,,,,,,,
3,"Derbyshire, United Kingdom",Coal,DS,,8,,1B-FN,1,38,1966,1966,"30,000",0.1,,ICOLD,,Strat,Coal,,,,,,,
3,"Williamthorpe, UK #2",Coal,,,,,1A-FN,1,216,1966,1966,,,,ICOLD,,Strat,Coal,,,,,,,
3,"Tymawr, United Kindom Inc#2",Coal,,,12,,1A-OT,1,125,1965,29-mar-65,,0.7,,"ICOLD, WISE",,Strat,Coal,,,,,,,
3,"Tymawr, United Kingdon",Coal,,,,,1A-OT,1,124,1965,29-mar-65,,0.8,,ICOLD,,Strat,Coal,,,,,,,
1,El Cobre Old Dam,Cu,US,T,35,"4,250,000",1A-EQ,1,45,1965,28-mar-65,"1,900,000",12,>200,"ICOLD, WISE, Rico","The talings failures of March 28, 1965, were from La Ligua, Chile, earthquake.  This accounts for a sigificant part of the large number of earthquakes in the period of 1960-1970.  About half of the failed dams  were abandoned, and half were lecated at operating mines. (see Villavicencio et al, 2014)",HT Manto,Cu,580,1.1,,1.1,19th c,20,Py
2,El Cobre New Dam,Cu,DS,CST,19,"350,000",1A-EQ,1,43,1965,28-mar-65,"350,000",12,,"ICOLD, WISE","The talings failures of March 28, 1965, were from La Ligua, Chile, earthquake.  This accounts for a sigificant part of the large number of earthquakes in the period of 1960-1970.  About half of the failed dams  were abandoned, and half were lecated at operating mines. (see Villavicencio et al, 2014)",HT Manto,Cu,580,1.1,,1.1,19th c,20,Py
3,"Bellavista, Chile",Cu,US,T,20,"450,000",1A-EQ,1,12,1965,28-mar-65,"70,000",0.8,,ICOLD,"The talings failures of March 28, 1965, were from La Ligua, Chile, earthquake.  This accounts for a sigificant part of the large number of earthquakes in the period of 1960-1970.  About half of the failed dams  were abandoned, and half were lecated at operating mines. (see Villavicencio et al, 2014)",HT Manto,Cu,580,1.1,,1.1,19th c,20,Py
3,"Cerro Blanco de Polpaico, Chile",Limestone,WR,R,9,,2A-EQ,2,26,1965,28-mar-65,,,,ICOLD,"The talings failures of March 28, 1965, were from La Ligua, Chile, earthquake.  This accounts for a sigificant part of the large number of earthquakes in the period of 1960-1970.  About half of the failed dams  were abandoned, and half were lecated at operating mines. (see Villavicencio et al, 2014)",Strat,Limestone,,,,,,,
3,"El Cerrado, Chile",Cu,US,T,25,,2B-EQ,2,42,1965,28-mar-65,,,,ICOLD,"The talings failures of March 28, 1965, were from La Ligua, Chile, earthquake.  This accounts for a sigificant part of the large number of earthquakes in the period of 1960-1970.  About half of the failed dams  were abandoned, and half were lecated at operating mines. (see Villavicencio et al, 2014)",,Cu,,,,,,,
3,"Hierro Viejo, Chile",Cu,US,T,5,,1A-EQ,1,55,1965,28-mar-65,800,1,,ICOLD,"The talings failures of March 28, 1965, were from La Ligua, Chile, earthquake.  This accounts for a sigificant part of the large number of earthquakes in the period of 1960-1970.  About half of the failed dams  were abandoned, and half were lecated at operating mines. (see Villavicencio et al, 2014)",,Cu,,,,,,,
3,"La Patagua New Dam, Chile (La Patagua - private)",Cu,US,T,15,,1A-EQ,1,69,1965,28-mar-65,"35,000",5,,"ICOLD, Rico","The talings failures of March 28, 1965, were from La Ligua, Chile, earthquake.  This accounts for a sigificant part of the large number of earthquakes in the period of 1960-1970.  About half of the failed dams  were abandoned, and half were lecated at operating mines. (see Villavicencio et al, 2014)",,Cu,,,,,,,
3,Los Maquis No. 1,Cu,US,T,15,,2B-EQ,2,70,1965,28-mar-65,,,,ICOLD,"The talings failures of March 28, 1965, were from La Ligua, Chile, earthquake.  This accounts for a sigificant part of the large number of earthquakes in the period of 1960-1970.  About half of the failed dams  were abandoned, and half were lecated at operating mines. (see Villavicencio et al, 2014)",,Cu,,,,,,,
3,Los Maquis No. 3,Cu,US,,15,"43,000",1A-EQ,1,71,1965,28-mar-65,"21,000",5,,"ICOLD, Rico","The talings failures of March 28, 1965, were from La Ligua, Chile, earthquake.  This accounts for a sigificant part of the large number of earthquakes in the period of 1960-1970.  About half of the failed dams  were abandoned, and half were lecated at operating mines. (see Villavicencio et al, 2014)",,Cu,,,,,,,
3,"Ramayana No. 1, Chile",Cu,US,T,5,,1A-EQ,1,99,1965,28-mar-65,150,,,ICOLD,"The talings failures of March 28, 1965, were from La Ligua, Chile, earthquake.  This accounts for a sigificant part of the large number of earthquakes in the period of 1960-1970.  About half of the failed dams  were abandoned, and half were lecated at operating mines. (see Villavicencio et al, 2014)",,Cu,,,,,,,
3,"Sauce No. 1, Chile",Cu,US,T,6,,2A-EQ,2,104,1965,28-mar-65,,,,ICOLD,"The talings failures of March 28, 1965, were from La Ligua, Chile, earthquake.  This accounts for a sigificant part of the large number of earthquakes in the period of 1960-1970.  About half of the failed dams  were abandoned, and half were lecated at operating mines. (see Villavicencio et al, 2014)",,Cu,,,,,,,
3,"Sauce No. 2, Chile",Cu,US,T,5,,2B-EQ,2,105,1965,28-mar-65,,,,ICOLD,"The talings failures of March 28, 1965, were from La Ligua, Chile, earthquake.  This accounts for a sigificant part of the large number of earthquakes in the period of 1960-1970.  About half of the failed dams  were abandoned, and half were lecated at operating mines. (see Villavicencio et al, 2014)",,Cu,,,,,,,
3,"Sauce No. 3, Chile",Cu,US,,5,,2B-EQ,2,106,1965,28-mar-65,,,,ICOLD,"The talings failures of March 28, 1965, were from La Ligua, Chile, earthquake.  This accounts for a sigificant part of the large number of earthquakes in the period of 1960-1970.  About half of the failed dams  were abandoned, and half were lecated at operating mines. (see Villavicencio et al, 2014)",,Cu,,,,,,,
3,"Sauce No. 4, Chile",Cu,US,T,5,,2B-EQ,2,107,1965,28-mar-65,,,,ICOLD,"The talings failures of March 28, 1965, were from La Ligua, Chile, earthquake.  This accounts for a sigificant part of the large number of earthquakes in the period of 1960-1970.  About half of the failed dams  were abandoned, and half were lecated at operating mines. (see Villavicencio et al, 2014)",,Cu,,,,,,,
3,"American Cyanamid, Florida #2",P,,,,,1A-U,1,4,1965,1965,,,,ICOLD,,Strat,P,,,,,,,
3,Cerro Negro No. (1 of 5),Cu,US,T,46,,2B-EQ,2,27,1965,1965,,,,ICOLD,Cracking due to EQ,,Cu,,,,,,,
3,Cerro Negro No. (2 of 5),Cu,US,T,46,,2B-EQ,2,28,1965,1965,,,,ICOLD,Cracking due to EQ,,Cu,,,,,,,
3,Cerro Negro No. (3 of 5),Cu,US,T,20,"500,000",1A-EQ,1,29,1965,1965,"85,000",5,,"ICOLD, WISE, Rico",dam failied due to EQ,,Cu,,,,,,,
3,El Cobre Small Dam - El Soldado (Penarroya),Cu,US,T,26,"985,000",2B-EQ,2,46,1965,1965,,,,ICOLD,,HT Manto,Cu,580,1.1,,1.1,21st c,22,Py
3,"N'yukka Creek, USSR",?,WR,E,12,,2A-FN,2,89,1965,1965,,,,ICOLD,,,?,,,,,,,
3,"Unidentified, Idaho, USA",P,DS,E,18,,2A-SI,2,150,1965,1965,,,,ICOLD,,Strat,P,,,,,,,
3,"Alcoa, Texas, USA",Al,,,19,"4,500,000",1A-U,1,2,1964,oct-64,,,,ICOLD,,,Al,,,,,,,
3,"Utah Construction, Riverton, Wyoming, USA",U,,,,,2A-OT,2,174,1963,16-jun-63,,,,ICOLD,,,U,,,,,,,
3,"Mines Development, Edgemont, South Dakota, USA",U,,,,,1A-U,1,80,1962,11-jun-62,100,,,ICOLD,,,U,,,,,,,
1,"Huogudu, Yunnan Tin Group Co., Yunnan",Sn,US,,,,1A-U,1,,1962,1962,"3,300,000",4.5,171,Wei,,,Sn,,,,,,,
1,"American Cyanamid, Florida",Gypsum,,,,,1A-U,1,3,1962,1962,"11,356,230",,,ICOLD; Beavers 2013.,"A gypsum stack dike break occurred at American Cyanamid Phosphate Complex in Brewster, Florida.  Approximately 3 billion gallons of process water were released into Hooker's Prairie.  The water was contained and limed on-site before the water was discharged into the South Prong of the Alafia River.  (An Overview of Phosphate Mining and Reclamation in Florida, Casey Beavers, University of Florida thesis, April 2013)",Strat,Gypsum,,,,,,,
3,"Unidentified, Peru",?,,,,,1A-EQ,1,135,1962,1962,,,,ICOLD,,,?,,,,,,,
3,"Union Carbide, Maybell, Colorado, USA",U,,,,,1A-U,1,171,1961,6/Dec/61,280,,,ICOLD,,,U,,,,,,,
3,"Tymawr, United Kingdon",Coal,,,,,1A-U,1,124,1961,Dec/61,,0.7,,ICOLD,,Strat,Coal,,,,,,,
5,"Jupille, Belgium",Coal,,,,,3,3,,1961,1961,,,11,"Blight & Fourie, 2004","Cause - Fly ash dum faulure due to removal of toe support of dump. 11 deaths, houses destroyed.",Strat,Coal,,,,,,,
3,"Lower Indian Creek, MO, USA",Pb,US,E,,,2A-SI,2,72,1960,1960,,,,ICOLD,,,Pb,,,,,,,
3,"Union Carbide, Green River, Utah, USA",U,,,,,1A-OT,1,170,1959,19/Aug/59,"8,400",,,ICOLD,,,U,,,,,,,
3,"Grootvlei, South Africa",Au,US,T,,,1A-SI,1,54,1956,1956,,,,ICOLD,,Wits,Au,,,,,,,
3,"Unidentified, Peace River, Florida, USA 3/52",P,WR,E,8,,1A-SI,1,165,1952,mar-52,,,,ICOLD,,Strat,P,,,,,,,
3,"Unidentified, Alfaria River, Florida, USA 2/52",P,WR,E,8,,1A-SI,1,156,1952,feb-52,,,,ICOLD,,Strat,P,,,,,,,
3,"Unidentified, Peace River, Florida, USA 9/51",P,WR,MW,6,,1A-SE,1,167,1951,sep-51,,,,ICOLD,,Strat,P,,,,,,,
3,"Unidentified, Peace River, Florida 7/51",P,WR,MW,30,,1A-SE,1,166,1951,jul-51,,,,ICOLD,,Strat,P,,,,,,,
3,"Unidentified, Peace River, Florida, USA 2/51",P,DS,E,,,1A-SE,1,168,1951,feb-51,,,,ICOLD,,Strat,P,,,,,,,
1,"Sullivan Mine, Kimberley, BC, Canada",Pb Zn,US,T,,,1A-SI,1,66,1948,1948,"1,100,000",,,ICOLD,,VMS,Pb Zn,170,,,5.693021381,1909,60,PY
2,"Castle Dome, Arizona, USA",Cu,US,T,,,1A-SE,1,25,1947,29-sep-47,"150,000",0.1,,ICOLD,,PCD,Cu,1400,0.33,0.04,0.362083742,1947,25,Py
3,"Hollinger, Canada",Au,US,T,15,,1A-FN,1,58,1944,1944,,,,ICOLD,,Vein,Au,,,,,,,Py
3,"Captains Flat Dump 3, Australia",Cu,,T,,,1A-U,1,20,1942,1942,"40,000",,,ICOLD,,,Cu,4,,,,1882,,PY
3,"Kennecott, Utah, USA",Cu,US,T,,,1A-FN,1,63,1942,1942,,,,ICOLD,,PCD,Cu,3500,0.75,0.35,1.21073274,1865,400,Py
3,"Kennecott, Garfield, Utah, USA",Cu,US,T,,,1A-SI,1,62,1941,1941,,,,ICOLD,,PCD,Cu,3500,0.75,0.35,1.21073274,1865,370,Py
3,"St. Joe Lead, Flat Missouri, USA",Pb,US,T,15,,1A-OT,1,115,1940,1940,,,,ICOLD,,,Pb,,,,,,,
3,"Captains Flat Dump 6A, Australia",Cu,US,T,,,1A-SI,1,21,1939,1939,,,,ICOLD,,,Cu,4,,,,1882,,PY
1,"Los Cedros, Tlalpujahua, Michoacán, México",Au Ag,US,T,,"9,200,000",1B-ST,1,,1937,27-may-37,"10,000,000",11,>300,"Macias et al, 2015","The 27 May 1937 catastrophic flow failure of gold tailings at Tlalpujahua, Michoacán, Mexico, J. L. Macías, P. Corona-Chávez, J. M. Sanchéz-Núñez, M. Martínez-Medina, V. H. Garduño-Monroy, L. Capra, F. García-Tenorio, and G. Cisneros-Máximo, Nat. Hazards Earth Syst. Sci., 15, 1069–1085, 2015, www.nat-hazards-earth-syst-sci.net/15/1069/2015/",,Au Ag,,,,,,,
3,"Simmer and Jack, South Africa",Au,US,T,,,1A-SI,1,110,1937,1937,,,,ICOLD,,Wits,Au,,,,,,,
1,"Barahona, Chile",Cu,US,CST,61,"20,000,000",1A-EQ,1,9,1928,oct-28,"2,800,000",,,ICOLD,,PCD,Cu,12000,1,,1,,35,Py
3,"Unidentified, South Africa",Au,,,,,1A-U,1,136,1917,1917,,,,ICOLD,,,Au,,,,,,,
2,"Agua Dulce, Sewell, VI Region, Rancagua, Chile",Cu,,,61,,1A-OT,1,,1915,15-jun-15,"180,000",,,Villavicencio,Strong rains and over?ow,PCD,Cu,12000,1,,1,,2.5,Py
 =====,,,,,,,,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,,,,,,,
